"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 15:17:19 CST 2024","Fri Sep 13 15:17:20 CST 2024","367","test_case","test_addtast","","","","test_addtask",""
"skipped","Fri Sep 13 15:08:45 CST 2024","Fri Sep 13 15:08:45 CST 2024","0","","","","","","test_addtask",""
"skipped","Fri Sep 13 15:08:55 CST 2024","Fri Sep 13 15:08:55 CST 2024","0","","","","","","test_addtask",""
"skipped","Fri Sep 13 14:21:44 CST 2024","Fri Sep 13 14:21:44 CST 2024","0","","","","","","test_addtask",""
